Arabidopsis Centroid	Function	Alyrata	Athaliana	Atrichopoda	Bdistachyon	Cclementina	Cgrandiflora	Cpapaya	Creinhardtii	Crubella	Csativus	Csinensis	CsubellipsoideaC169	Egrandis	Esalsugineum	Fvesca	Gmax	Graimondii	Lusitatissimum	Mdomestica	Mesculenta	Mguttatus	MspRCC299	Mtruncatula	Olucimarinus	Osativa	Ppatens	Ptrichocarpa	Pvulgaris	Rcommunis	Sbicolor	Sitalica	Slycopersicum	Smoellendorffii	Spolyrhiza	Stuberosum	Tcacao	Vcarteri	Vvinifera	Zmays
Athaliana|:|AT1G67090.1	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	475805		evm_27.model.AmTr_v1.0_scaffold00054.12, evm_27.model.AmTr_v1.0_scaffold00079.19	Bradi4g08500.1, Bradi3g26391.1, Bradi3g26385.1	Ciclev10023403m, Ciclev10012893m		evm.model.supercontig_1.38	Cre02.g120100.t1.2							mrna17686.1-v1.0-hybrid, mrna03736.1-v1.0-hybrid				MDP0000185022, MDP0000392485	cassava4.1_017170m, cassava4.1_017647m	Migut.J01492.1, Migut.D01473.1, Migut.H00214.1		Medtr6g018310.1, Medtr7g007210.1, Medtr7g007230.1, Medtr7g007220.1, Medtr7g007120.1, Medtr7g007200.1		LOC_Os12g17600.1	Phpat.012G022100.1, Phpat.022G002200.1, Phpat.019G005800.1, Phpat.012G045500.1, Phpat.003G053900.1, Phpat.003G078600.1, Phpat.019G009600.1, Phpat.004G042400.1, Phpat.003G047900.1, Phpat.013G053900.1, Phpat.003G047400.1, Phpat.013G054900.1, Phpat.002G018000.1, Phpat.004G017400.1, Phpat.013G054400.1, Phpat.015G084200.1, Phpat.003G072900.1, Phpat.012G043900.1, Phpat.022G026900.1, Phpat.012G022000.1, Phpat.003G078800.1, Phpat.013G054200.1, Phpat.012G070800.1, Phpat.015G084300.1, Phpat.003G054000.1, Phpat.013G054500.1, Phpat.019G005900.1	Potri.017G114600.1, Potri.004G100000.1	Phvul.004G073400.1	29974.m000232, 29763.m000188, 27524.m000290		Si023461m, Si023466m, Si023462m, Si023465m	Solyc07g017950.2.1	17395	Spipo10G0010300, Spipo19G0027700, Spipo14G0042700, Spipo30G0009500	PGSC0003DMP400007324	Thecc1EG019454t1, Thecc1EG039193t1, Thecc1EG009873t1	Vocar20003649m, Vocar20003703m, Vocar20003650m		
Athaliana|:|AT5G38410.3	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)							evm.model.supercontig_282.14	Cre02.g120150.t1.2		Cucsa.283540.1			Eucgr.K02223.1	Thhalv10019199m		Glyma.19G046900.1, Glyma.14G089500.1			MDP0000252890, MDP0000547788						LOC_Os02g05830.1			Phvul.004G073500.1	29763.m000189		Si019771m, Si023437m		147927			Thecc1EG012342t1			
Athaliana|:|AT5G38420.1	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)				Bradi5g04080.1, Bradi4g08800.1	Ciclev10009532m				Carubv10007296m, Carubv10007166m, Carubv10005847m		orange1.1g029245m		Eucgr.B03013.1, Eucgr.C00150.1		mrna16933.1-v1.0-hybrid	Glyma.19G046800.1, Glyma.13G097100.1, Glyma.13G046200.1, Glyma.19G046600.1, Glyma.18G296900.1, Glyma.19G047000.1	Gorai.003G153700.1	Lus10005093, Lus10033558, Lus10009172, Lus10034357, Lus10017597, Lus10028471	MDP0000239442, MDP0000524809, MDP0000241662, MDP0000731480		Migut.D01471.1		Medtr4g127870.1	89572, 28400, 42060	LOC_Os12g19470.2, LOC_Os12g19381.1	Phpat.004G047800.1	Potri.018G091400.1, Potri.006G167900.1					Solyc02g063150.2.1, Solyc02g085950.2.1, Solyc03g034220.2.1			PGSC0003DMP400022435, PGSC0003DMP400041818, PGSC0003DMP400045851	Thecc1EG009872t1	Vocar20003726m	GSVIVT01029221001, GSVIVT01008288001	GRMZM2G113033_P01, GRMZM2G098520_P01
Athaliana|:|AT5G38430.1	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	494136, 494137					Cagra.3694s0005.1	evm.model.supercontig_1021.2, evm.model.supercontig_1.37		Carubv10021016m			65708	Eucgr.J01502.1	Thhalv10027955m, Thhalv10019202m		Glyma.18G182300.1, Glyma.08G365300.1	Gorai.007G181300.1, Gorai.001G201800.1, Gorai.007G181400.1			cassava4.1_017243m	Migut.I00348.1		Medtr6g018300.1					Phvul.004G064800.1, Phvul.004G064900.1	30167.m000889	Sobic.005G042000.1					PGSC0003DMP400034002		Vocar20003629m, Vocar20003556m, Vocar20003598m		
Athaliana|:|AT3G25860.1	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	904762		evm_27.model.AmTr_v1.0_scaffold00002.65	Bradi4g29920.1, Bradi3g36520.1	Ciclev10031397m	Cagra.0167s0010.1			Carubv10017115m	Cucsa.283680.1	orange1.1g011684m		Eucgr.G02332.1	Thhalv10004077m	mrna03761.1-v1.0-hybrid	Glyma.20G114500.1, Glyma.01G081900.1	Gorai.013G077100.1	Lus10034304, Lus10041467	MDP0000727725, MDP0000682401, MDP0000293044, MDP0000119068, MDP0000258914	cassava4.1_006696m	Migut.L01074.1, Migut.L01393.1, Migut.E00327.1		Medtr1g111140.1	2905	LOC_Os08g33440.1, LOC_Os09g24320.1	Phpat.003G105000.1	Potri.010G126600.1, Potri.008G119500.1	Phvul.007G026300.1	28883.m000717	Sobic.002G197500.1, Sobic.007G134800.1	Si013678m, Si029802m	Solyc05g009530.2.1	77384	Spipo15G0030700	PGSC0003DMP400022971	Thecc1EG011824t2		GSVIVT01011909001	GRMZM2G117786_P01, GRMZM2G058702_P01, GRMZM2G121200_P01
Athaliana|:|AT1G34430.1	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	473597		evm_27.model.AmTr_v1.0_scaffold00180.31	Bradi4g41000.1	Ciclev10001084m	Cagra.13886s0002.1	evm.model.supercontig_66.53	Cre03.g158900.t1.2	Carubv10008900m	Cucsa.240920.1	orange1.1g014822m	31081	Eucgr.F04134.1	Thhalv10007561m	mrna27473.1-v1.0-hybrid	Glyma.20G176300.1, Glyma.10G215400.1	Gorai.009G264100.1	Lus10006069	MDP0000150877, MDP0000311469	cassava4.1_006906m, cassava4.1_007597m	Migut.C01244.1		Medtr1g096240.1		LOC_Os12g08170.1	Phpat.013G069200.1, Phpat.015G029400.1	Potri.019G084900.1, Potri.013G114300.1	Phvul.007G090300.1	29728.m000838	Sobic.008G059900.1	Si010046m	Solyc11g017250.1.1	227145	Spipo7G0040400	PGSC0003DMP400016265	Thecc1EG036333t1	Vocar20000767m	GSVIVT01034492001	GRMZM2G165176_P01, GRMZM2G036534_P01
Athaliana|:|AT3G07270.1	GTP cyclohydrolase I (EC 3.5.4.16) type 1	478046		evm_27.model.AmTr_v1.0_scaffold00013.248	Bradi5g25070.1	Ciclev10020030m	Cagra.0133s0070.1	evm.model.supercontig_8.124	Cre06.g278243.t1.1, Cre09.g393913.t1.1	Carubv10013638m	Cucsa.078090.1, Cucsa.141930.1	orange1.1g019705m	18992	Eucgr.H00758.1	Thhalv10004230m, Thhalv10020678m	mrna17412.1-v1.0-hybrid	Glyma.16G089300.1, Glyma.03G085500.1, Glyma.08G347400.1, Glyma.03G085100.1, Glyma.18G158900.1	Gorai.004G059200.1, Gorai.001G231000.1	Lus10003152, Lus10002353	MDP0000305450, MDP0000256036	cassava4.1_006731m, cassava4.1_025527m	Migut.N00638.1		Medtr7g055700.1, Medtr7g060740.1, Medtr7g060730.1, Medtr8g016030.1, Medtr8g012570.1	10425	LOC_Os04g56710.1	Phpat.011G099500.1, Phpat.007G037700.1	Potri.002G247100.1, Potri.014G195000.1	Phvul.008G132600.1, Phvul.010G022900.1	30120.m000362	Sobic.006G254100.1	Si021939m	Solyc06g083230.2.1	76344	Spipo13G0029100	PGSC0003DMP400034874	Thecc1EG002762t1	Vocar20012727m	GSVIVT01019962001, GSVIVT01000333001	GRMZM2G062420_P01, GRMZM2G106376_P01
Athaliana|:|AT3G57050.1	Cystathionine beta-lyase (EC 4.4.1.8)	486150		evm_27.model.AmTr_v1.0_scaffold00070.48	Bradi1g47910.1	Ciclev10020055m	Cagra.0578s0035.1	evm.model.supercontig_5.210	Cre16.g669550.t1.2	Carubv10017187m	Cucsa.077530.1	orange1.1g016612m	37091	Eucgr.A02261.1	Thhalv10005955m	mrna14479.1-v1.0-hybrid	Glyma.03G129700.1, Glyma.19G132000.1	Gorai.007G353500.1	Lus10039016, Lus10027313	MDP0000827548, MDP0000211810, MDP0000611975	cassava4.1_029606m, cassava4.1_007019m	Migut.J01673.1, Migut.K00129.1		Medtr1g064320.1	88245, 17120	LOC_Os06g07960.1, LOC_Os06g07860.1	Phpat.005G006500.1	Potri.006G041300.1, Potri.016G038200.1	Phvul.001G125400.1	30131.m006960	Sobic.010G059200.1	Si006353m	Solyc10g079720.1.1, Solyc04g055230.1.1	165967		PGSC0003DMP400003364, PGSC0003DMP400051984	Thecc1EG024360t1	Vocar20001425m	GSVIVT01033607001	GRMZM2G167156_P01
Athaliana|:|AT4G02330.1	Pectinesterase (EC 3.1.1.11)	490338			Bradi2g27930.1, Bradi2g11850.1	Ciclev10023535m, Ciclev10023588m, Ciclev10003641m, Ciclev10023718m	Cagra.0753s0006.1			Carubv10000558m	Cucsa.205340.1	orange1.1g044042m, orange1.1g008293m, orange1.1g045655m, orange1.1g043374m			Thhalv10028546m	mrna10629.1-v1.0-hybrid, mrna11074.1-v1.0-hybrid, mrna12107.1-v1.0-hybrid	Glyma.03G215900.1, Glyma.10G150600.1, Glyma.02G016600.1, Glyma.10G017200.1, Glyma.03G215800.1, Glyma.19G231400.1, Glyma.19G212300.1	Gorai.007G302100.1, Gorai.008G143800.1, Gorai.004G091400.1	Lus10015210, Lus10031470	MDP0000196922, MDP0000798705, MDP0000231962	cassava4.1_028140m			Medtr7g108890.1, Medtr1g083520.1, Medtr7g108900.1, Medtr7g108875.1		LOC_Os05g29790.1, LOC_Os01g20980.1			Phvul.006G088100.1, Phvul.007G246700.1, Phvul.001G209100.1, Phvul.007G198200.1	30128.m008859	Sobic.003G148300.1		Solyc09g075330.2.1		Spipo0G0067900, Spipo0G0068000	PGSC0003DMP400055069	Thecc1EG026687t1			GRMZM2G119864_P01, GRMZM2G128682_P01
Athaliana|:|AT4G21470.1	Riboflavin kinase (EC 2.7.1.26)	914528		evm_27.model.AmTr_v1.0_scaffold00039.124	Bradi5g24050.1, Bradi2g50350.1	Ciclev10015592m	Cagra.2455s0002.1	evm.model.supercontig_27.119	Cre01.g025250.t1.1, Cre06.g311600.t1.2	Carubv10005046m	Cucsa.147570.1, Cucsa.126300.1	orange1.1g016755m	53673, 46821	Eucgr.G00853.1, Eucgr.G00852.1, Eucgr.K01125.1	Thhalv10025469m	mrna30696.1-v1.0-hybrid, mrna17658.1-v1.0-hybrid	Glyma.08G058800.1, Glyma.07G190300.1, Glyma.13G291000.1, Glyma.12G210300.1	Gorai.009G173700.1	Lus10028605, Lus10018435, Lus10018906	MDP0000150050, MDP0000210036, MDP0000191386, MDP0000208907, MDP0000283164, MDP0000221381	cassava4.1_009607m, cassava4.1_024679m, cassava4.1_030929m	Migut.M01210.1, Migut.M00258.1, Migut.I00194.1		Medtr4g091060.1, Medtr2g091220.1	9092, 29210	LOC_Os10g14814.1, LOC_Os01g55310.1, LOC_Os10g32730.1	Phpat.001G105400.1, Phpat.014G033000.1, Phpat.012G025100.1	Potri.005G183400.1, Potri.002G077200.1	Phvul.002G222300.1, Phvul.005G095600.1	29933.m001421, 29682.m000592	Sobic.001G227200.1, Sobic.001G524500.1, Sobic.003G301500.1	Si037732m, Si002131m	Solyc02g079100.2.1, Solyc07g053270.2.1	105011, 233432	Spipo11G0060700	PGSC0003DMP400035478, PGSC0003DMP400038852	Thecc1EG029985t1	Vocar20006701m, Vocar20008132m	GSVIVT01020702001, GSVIVT01003197001, GSVIVT01003195001, GSVIVT01020703001	GRMZM2G027115_P03, GRMZM2G135586_P01
Athaliana|:|AT3G14310.1	Pectinesterase (EC 3.1.1.11)	478847		evm_27.model.AmTr_v1.0_scaffold00042.38, evm_27.model.AmTr_v1.0_scaffold00129.20		Ciclev10007806m, Ciclev10025238m	Cagra.1582s0014.1	evm.model.supercontig_1461.3, evm.model.supercontig_25.194		Carubv10013226m	Cucsa.078110.1, Cucsa.359780.1, Cucsa.149200.1, Cucsa.078100.1	orange1.1g029714m, orange1.1g018173m, orange1.1g008261m			Thhalv10020354m	mrna05465.1-v1.0-hybrid	Glyma.16G014100.1, Glyma.07G046000.1	Gorai.009G147900.1, Gorai.009G039100.1, Gorai.011G055100.1	Lus10039314, Lus10003933, Lus10037458, Lus10013344	MDP0000162904	cassava4.1_004357m, cassava4.1_004724m, cassava4.1_004339m	Migut.L00512.1, Migut.I01132.1, Migut.I01133.1, Migut.L00511.1		Medtr8g023310.1, Medtr5g083620.1			Phpat.010G002900.1, Phpat.018G000900.1	Potri.003G002100.1, Potri.001G162600.1, Potri.003G072800.1, Potri.T148300.1, Potri.001G162500.1, Potri.003G002600.1, Potri.003G001900.1, Potri.003G002800.1, Potri.006G256600.1, Potri.T151400.1, Potri.006G256700.1, Potri.001G162400.1, Potri.014G011300.1, Potri.014G010500.1, Potri.018G051400.1, Potri.T151500.1, Potri.T148200.1	Phvul.010G123100.1, Phvul.009G261700.1	29308.m000175, 29739.m003671, 29739.m003669			Solyc01g068120.2.1, Solyc03g123630.2.1		Spipo20G0006800	PGSC0003DMP400016183	Thecc1EG037441t1, Thecc1EG029251t1		GSVIVT01014999001	GRMZM2G453041_P01
Athaliana|:|AT1G53830.1	Pectinesterase (EC 3.1.1.11)	892433			Bradi2g11860.1		Cagra.0769s0001.1			Carubv10008673m					Thhalv10011343m				Lus10027556	MDP0000222620						LOC_Os01g21034.1, LOC_Os07g47830.1	Phpat.010G094300.1				Sobic.002G416000.1, Sobic.003G148400.1	Si029287m, Si004722m	Solyc11g051030.1.1	114014, 431592						GRMZM2G136106_P01
Athaliana|:|AT2G47040.1	Pectinesterase (EC 3.1.1.11)						Cagra.16630s0011.1	evm.model.supercontig_41.94		Carubv10024512m					Thhalv10001369m	mrna24568.1-v1.0-hybrid	Glyma.02G008300.1	Gorai.007G098400.1											Phvul.007G210200.1				Solyc06g084620.1.1			PGSC0003DMP400009255	Thecc1EG004928t1			
Athaliana|:|AT2G47030.1	Pectinesterase (EC 3.1.1.11)	483877					Cagra.11625s0001.1			Carubv10025567m	Cucsa.374150.1						Glyma.19G220600.1, Glyma.03G223400.1, Glyma.10G137000.1	Gorai.005G257300.1, Gorai.004G146900.1	Lus10003968, Lus10023775	MDP0000850802	cassava4.1_029447m, cassava4.1_033112m, cassava4.1_029816m	Migut.D00020.1		Medtr7g110440.1, Medtr8g088610.1, Medtr7g110420.1, Medtr5g083590.1, Medtr1g086210.1, Medtr7g110430.1				Potri.001G209200.1, Potri.003G021300.1	Phvul.007G210400.1	30116.m000389						PGSC0003DMP400041608				GRMZM2G440016_P01
Athaliana|:|AT3G62170.1	Pectinesterase (EC 3.1.1.11)	486726					Cagra.0483s0030.1			Carubv10019418m					Thhalv10005855m																									
Athaliana|:|AT4G00190.1	Pectinesterase (EC 3.1.1.11)	864495					Cagra.1261s0011.1			Carubv10002406m							Glyma.02G009900.1		Lus10024050					Medtr6g006340.1				Potri.001G314600.1, Potri.017G087300.1									Thecc1EG004853t1			
Athaliana|:|AT1G44980.1	Pectinesterase (EC 3.1.1.11)																																							
Athaliana|:|AT3G59010.1	Pectinesterase (EC 3.1.1.11)	907399		evm_27.model.AmTr_v1.0_scaffold00129.47			Cagra.0216s0008.1			Carubv10017004m					Thhalv10005885m				Lus10025510, Lus10026729	MDP0000288901, MDP0000206593, MDP0000712623	cassava4.1_004607m							Potri.014G149700.1		29684.m000310	Sobic.005G082100.1, Sobic.004G321600.1	Si026174m, Si019555m							GSVIVT01031667001	
Athaliana|:|AT2G45150.1	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	483649			Bradi3g02640.1		Cagra.0239s0068.1	evm.TU.contig_30654.1	Cre12.g489050.t1.2	Carubv10025390m	Cucsa.120610.1		35823	Eucgr.E01511.1	Thhalv10001472m	mrna03958.1-v1.0-hybrid	Glyma.18G055100.1, Glyma.11G161400.1		Lus10015882	MDP0000179483, MDP0000119485	cassava4.1_026812m, cassava4.1_014968m			Medtr3g466380.1					Phvul.006G076100.1	30174.m008826	Sobic.004G025400.1	Si017452m						Vocar20000852m		GRMZM2G027043_P01, GRMZM2G156983_P05, GRMZM2G053711_P05
Athaliana|:|AT3G60620.1	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	324510		evm_27.model.AmTr_v1.0_scaffold00044.250		Ciclev10020384m	Cagra.6011s0008.1	evm.model.supercontig_49.156		Carubv10017406m		orange1.1g015272m			Thhalv10006014m			Gorai.001G175000.1	Lus10009281	MDP0000164976		Migut.B01596.1			37424	LOC_Os02g03460.1	Phpat.005G070000.1, Phpat.006G041500.1	Potri.014G060100.1					Solyc01g090940.2.1	270747	Spipo16G0012300	PGSC0003DMP400045124	Thecc1EG005574t1		GSVIVT01027681001	
Athaliana|:|ATMG00160.1	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	356389		evm_27.model.AmTr_v1.0_scaffold05659.2, evm_27.model.AmTr_v1.0_scaffold04574.1, evm_27.model.AmTr_v1.0_scaffold04574.2			Cagra.5120s0017.1	evm.model.supercontig_555.1	Cre03.g154350.t1.2, Cre01.g049500.t1.2					Eucgr.I01856.1	Thhalv10023011m		Glyma.04G162500.1, Glyma.15G145300.1, Glyma.09G040100.1	Gorai.001G161700.1		MDP0000818359		Migut.J01259.1							Phvul.009G252600.1	46574.m000081, 29760.m000187		Si020771m	Solyc09g015870.2.1, Solyc05g018250.2.1, Solyc12g035830.1.1, Solyc05g045850.1.1, Solyc12g039010.1.1, Solyc03g063800.1.1, Solyc05g045870.1.1, Solyc05g045930.1.1, Solyc05g045790.1.1, Solyc11g056410.1.1	139130, 38815		PGSC0003DMP400041365, PGSC0003DMP400035521, PGSC0003DMP400054535, PGSC0003DMP400024462		Vocar20000677m, Vocar20009803m	GSVIVT01006909001	GRMZM5G851925_P01, GRMZM2G109332_P01, GRMZM5G862955_P02, GRMZM2G173833_P01, GRMZM2G174092_P01, GRMZM2G009197_P01, AC225309.2_FGP003, GRMZM2G142109_P04, GRMZM5G892769_P01
Athaliana|:|AT5G28840.1	GDP-mannose 3,5-epimerase (EC 5.1.3.18)	489666		evm_27.model.AmTr_v1.0_scaffold00002.538	Bradi3g26860.1, Bradi4g14950.2	Ciclev10006605m, Ciclev10001524m	Cagra.15997s0002.1	evm.model.supercontig_117.87	Cre01.g019250.t1.2	Carubv10001190m	Cucsa.133300.1	orange1.1g044498m, orange1.1g017216m	52441	Eucgr.B02118.1, Eucgr.H04339.1	Thhalv10004408m	mrna16559.1-v1.0-hybrid	Glyma.03G247000.1, Glyma.10G162000.1, Glyma.19G244700.1, Glyma.20G224400.1, Glyma.19G244600.1	Gorai.013G120800.1, Gorai.004G246500.1	Lus10020247, Lus10009174, Lus10015915, Lus10001777	MDP0000296691, MDP0000194772, MDP0000951479	cassava4.1_030377m, cassava4.1_009808m, cassava4.1_009823m	Migut.N00226.1, Migut.G00395.1		Medtr7g115080.1, Medtr1g080950.2	18701	LOC_Os10g28200.1, LOC_Os11g37890.1	Phpat.017G057400.1, Phpat.001G122000.1, Phpat.002G034800.1	Potri.T103900.1, Potri.013G040600.1, Potri.005G053000.1	Phvul.007G187300.1, Phvul.006G101600.1	29598.m000469	Sobic.001G247600.1, Sobic.005G168600.1	Si035895m, Si013761m, Si026519m	Solyc09g082990.2.1, Solyc01g097340.2.1	128181, 157784, 178232, 110416, 76013, 83391, 76257, 406366, 272082	Spipo3G0089800	PGSC0003DMP400010821, PGSC0003DMP400033822	Thecc1EG026351t1	Vocar20006507m	GSVIVT01021793001, GSVIVT01018081001	GRMZM2G138907_P01, GRMZM2G124434_P01
Athaliana|:|AT1G01710.1	Acyl-CoA thioesterase II (EC 3.1.2.-)	878254, 470104		evm_27.model.AmTr_v1.0_scaffold00009.243	Bradi5g18080.3	Ciclev10020242m	Cagra.1968s0111.1	evm.model.supercontig_18.250		Carubv10009215m	Cucsa.258340.1	orange1.1g040957m		Eucgr.E00141.1	Thhalv10007689m	mrna19326.1-v1.0-hybrid	Glyma.18G232200.1, Glyma.18G232000.1, Glyma.03G009800.1, Glyma.18G232300.1, Glyma.07G071300.1, Glyma.09G260200.1	Gorai.007G099000.1	Lus10030385, Lus10037853	MDP0000244124, MDP0000244125, MDP0000145834, MDP0000152651, MDP0000276233	cassava4.1_032681m, cassava4.1_008303m	Migut.N01442.1		Medtr7g077400.1, Medtr8g030920.1		LOC_Os04g47120.1	Phpat.012G092100.1, Phpat.014G026300.1, Phpat.010G073200.1	Potri.014G083300.1	Phvul.008G065700.1, Phvul.010G098200.1	30174.m009021	Sobic.006G175900.1, Sobic.006G175800.1, Sobic.K043300.1	Si010192m	Solyc01g094550.2.1, Solyc01g094530.2.1	413445, 48406, 98499	Spipo11G0053500, Spipo11G0053600	PGSC0003DMP400000362, PGSC0003DMP400000431	Thecc1EG005341t1		GSVIVT01026913001	GRMZM2G344476_P01
Athaliana|:|AT4G00520.2	Acyl-CoA thioesterase II (EC 3.1.2.-)	864459					Cagra.4456s0010.1			Carubv10002999m					Thhalv10029128m																			413446						
Athaliana|:|AT2G42070.1	FAD pyrophosphatase (EC 3.6.1.18)	483292		evm_27.model.AmTr_v1.0_scaffold00044.54	Bradi4g37360.1	Ciclev10013558m	Cagra.12804s0003.1	evm.model.supercontig_85.50	Cre06.g285200.t1.1	Carubv10023799m	Cucsa.242630.1	orange1.1g022283m	40300, 10765		Thhalv10017043m		Glyma.09G111000.1, Glyma.19G148100.1, Glyma.02G172600.1, Glyma.03G145000.1	Gorai.006G143000.1	Lus10029289	MDP0000137376, MDP0000154247	cassava4.1_013037m	Migut.K00036.1		Medtr7g093280.1		LOC_Os09g38040.1	Phpat.012G034800.1, Phpat.003G052700.1	Potri.016G045300.1, Potri.006G192800.1	Phvul.001G142700.1, Phvul.007G260200.1	29613.m000368	Sobic.002G291300.1	Si031375m	Solyc03g062830.2.1	80228	Spipo17G0034200		Thecc1EG024914t1	Vocar20010146m	GSVIVT01033492001	GRMZM5G819999_P01, GRMZM2G033634_P01
Athaliana|:|AT2G41680.1	Thioredoxin reductase (EC 1.8.1.9)	870630		evm_27.model.AmTr_v1.0_scaffold00107.3	Bradi1g19140.1	Ciclev10004686m	Cagra.0914s0009.1	evm.model.supercontig_967.2	Cre01.g054150.t1.2	Carubv10022987m	Cucsa.164280.1	orange1.1g009224m	13916	Eucgr.A02337.1	Thhalv10016520m	mrna02442.1-v1.0-hybrid	Glyma.02G185300.1, Glyma.10G113100.1	Gorai.003G091100.1	Lus10042048, Lus10018051	MDP0000314335, MDP0000525742, MDP0000845788	cassava4.1_005480m, cassava4.1_005499m	Migut.K00092.1, Migut.J01745.1		Medtr1g053160.1	28227	LOC_Os07g46410.1	Phpat.023G075400.1, Phpat.020G023200.1	Potri.006G049100.1	Phvul.007G251800.1	30006.m000289	Sobic.002G401800.1	Si029424m	Solyc04g016010.2.1, Solyc10g080080.1.1	428653	Spipo22G0002100	PGSC0003DMP400040987, PGSC0003DMP400047394, PGSC0003DMP400047397	Thecc1EG024570t1	Vocar20009616m	GSVIVT01033256001	GRMZM2G136522_P01
Athaliana|:|AT4G35460.1	Thioredoxin reductase (EC 1.8.1.9)	912832			Bradi1g42580.1	Ciclev10025834m	Cagra.2350s0087.1	evm.model.supercontig_6.349	Cre02.g098850.t1.1, Cre07.g355600.t1.1	Carubv10004895m	Cucsa.044350.1	orange1.1g016820m	46607	Eucgr.J02565.1, Eucgr.J02562.1	Thhalv10025459m	mrna13002.1-v1.0-hybrid	Glyma.11G088200.1, Glyma.16G113100.1, Glyma.01G156600.1		Lus10006853	MDP0000235846, MDP0000251344	cassava4.1_009444m	Migut.N02778.1		Medtr5g024900.1		LOC_Os02g48290.1, LOC_Os06g22140.1	Phpat.008G034700.1, Phpat.008G035100.1	Potri.011G145100.1	Phvul.002G119000.1, Phvul.003G271900.1	29363.m000070, 29682.m000572	Sobic.005G154000.1, Sobic.010G135000.1, Sobic.004G262300.1	Si007183m, Si017132m	Solyc02g082250.2.1	143610	Spipo10G0017100, Spipo12G0040300	PGSC0003DMP400024126	Thecc1EG000024t1, Thecc1EG000987t1	Vocar20012023m, Vocar20006847m		GRMZM2G164948_P03, GRMZM5G841142_P02, GRMZM5G889769_P01
Athaliana|:|AT2G17420.1	Thioredoxin reductase (EC 1.8.1.9)	319692		evm_27.model.AmTr_v1.0_scaffold00022.129	Bradi3g53200.1		Cagra.6788s0002.1			Carubv10013889m	Cucsa.323260.1				Thhalv10022728m			Gorai.007G033400.1	Lus10025845, Lus10037596, Lus10019550, Lus10038256	MDP0000233802, MDP0000823251								Potri.001G456800.1					Solyc03g032000.2.1			PGSC0003DMP400032532		Vocar20005967m, Vocar20006851m	GSVIVT01026443001	
Athaliana|:|AT3G02020.1	Aspartokinase (EC 2.7.2.4)	896038				Ciclev10014778m	Cagra.1561s0062.1	evm.model.supercontig_70.76		Carubv10015842m		orange1.1g008621m			Thhalv10020441m, Thhalv10024044m												Phpat.022G008000.1	Potri.002G236800.1												GRMZM2G166366_P01
Athaliana|:|AT5G13280.1	Aspartokinase (EC 2.7.2.4)	909281			Bradi1g01800.1, Bradi2g59490.1		Cagra.0596s0020.1		Cre10.g458500.t1.2	Carubv10000635m					Thhalv10013112m		Glyma.19G102100.1, Glyma.16G049300.1			MDP0000218938				Medtr7g083920.1		LOC_Os03g63330.1, LOC_Os07g20544.1, LOC_Os01g70300.1					Sobic.003G412100.1	Si034939m, Si000893m					Thecc1EG008375t1	Vocar20002294m	GSVIVT01004941001, GSVIVT01032996001	GRMZM2G052935_P01, GRMZM2G300862_P05, GRMZM2G024686_P01, GRMZM2G169046_P01
Athaliana|:|AT5G14060.1	Aspartokinase (EC 2.7.2.4)	488237		evm_27.model.AmTr_v1.0_scaffold00016.129			Cagra.3166s0012.1			Carubv10003334m	Cucsa.317690.1		61091	Eucgr.I01605.1	Thhalv10013157m	mrna01389.1-v1.0-hybrid	Glyma.16G147300.1, Glyma.02G066100.1	Gorai.001G275700.1, Gorai.006G000400.1	Lus10012568, Lus10041523	MDP0000304669, MDP0000130459, MDP0000304794, MDP0000247912	cassava4.1_004817m	Migut.K01483.1, Migut.K01067.1		Medtr6g033260.2	44504		Phpat.021G001800.1	Potri.014G145700.1	Phvul.004G070100.1	30131.m006990	Sobic.001G011700.1, Sobic.002G111800.1	Si029364m	Solyc01g005240.2.1	142417	Spipo4G0062200	PGSC0003DMP400039497	Thecc1EG017337t1			GRMZM2G700866_P02, GRMZM5G866647_P01
Athaliana|:|AT4G02770.1	photosystem I subunit II (PsaD)	490280					Cagra.8967s0013.1			Carubv10001997m					Thhalv10029178m																Sobic.001G046900.1									GRMZM2G024150_P01
